direction,system,metric,n,mean,std
fj->en,gemini,llm_terminology,233,3.1759656652360513,1.426028678505271
fj->en,google_translate,llm_terminology,233,2.9914163090128754,1.4473263587977667
fj->en,microsoft_translate,llm_terminology,233,2.8412017167381975,1.454962470660849
fj->en,chatgpt,meteor,233,0.1752365711747421,0.21139039269039953
fj->en,gemini,meteor,233,0.35271785397223665,0.2956622753170621
fj->en,google_translate,meteor,233,0.3533570244953606,0.2983805143902473
fj->en,microsoft_translate,meteor,233,0.3228468253171018,0.27981226493834566
fj->en,chatgpt,rouge1_f1,233,0.21251681807383024,0.22090258691870734
fj->en,gemini,rouge1_f1,233,0.4063166888869208,0.31511668395585235
fj->en,google_translate,rouge1_f1,233,0.4027249253914013,0.3136058950652837
fj->en,microsoft_translate,rouge1_f1,233,0.37322677896259004,0.29121980648001017
fj->en,chatgpt,rouge1_p,233,0.2233472811622776,0.22503796464048056
fj->en,gemini,rouge1_p,233,0.43737173499120363,0.31679585578077607
fj->en,google_translate,rouge1_p,233,0.4367357065561523,0.32758695925453707
fj->en,microsoft_translate,rouge1_p,233,0.4079391406905535,0.3029392219584708
fj->en,chatgpt,rouge1_r,233,0.2275498168244496,0.24525156091227465
fj->en,gemini,rouge1_r,233,0.4296653608926837,0.3415843299613456
fj->en,google_translate,rouge1_r,233,0.4222301434356692,0.3402090784132193
fj->en,microsoft_translate,rouge1_r,233,0.3904462896289031,0.3199356045374552
fj->en,chatgpt,rouge2_f1,233,0.0696561326770227,0.13743641746756782
fj->en,gemini,rouge2_f1,233,0.1928271387851682,0.2613373747582936
fj->en,google_translate,rouge2_f1,233,0.20476251716204688,0.26364415083570586
fj->en,microsoft_translate,rouge2_f1,233,0.16752571735682562,0.21705185985805459
fj->en,chatgpt,rouge2_p,233,0.06739596360295486,0.13136583017442144
fj->en,gemini,rouge2_p,233,0.19877703004861721,0.2699289226442613
fj->en,google_translate,rouge2_p,233,0.21314514315146643,0.2689621821068508
fj->en,microsoft_translate,rouge2_p,233,0.16959732568475255,0.22086234585924533
fj->en,chatgpt,rouge2_r,233,0.07507344824819544,0.14923010567568784
fj->en,gemini,rouge2_r,233,0.20136799868828784,0.27143293566457455
fj->en,google_translate,rouge2_r,233,0.20784166291542397,0.2683796843234355
fj->en,microsoft_translate,rouge2_r,233,0.17417443677741742,0.2271844207096216
fj->en,chatgpt,rougeL_f1,233,0.1895467200511943,0.20615218572434948
fj->en,gemini,rougeL_f1,233,0.3838593443565302,0.3085764922687966
fj->en,google_translate,rougeL_f1,233,0.3830253487795093,0.3061348205222801
fj->en,microsoft_translate,rougeL_f1,233,0.348395410061553,0.2789721748607302
fj->en,chatgpt,rougeL_p,233,0.1995052727537974,0.21081867575483215
fj->en,gemini,rougeL_p,233,0.4123388908539615,0.31097473648986335
fj->en,google_translate,rougeL_p,233,0.4156651756699543,0.3196620794923553
fj->en,microsoft_translate,rougeL_p,233,0.382098365988591,0.29154483163381856
fj->en,chatgpt,rougeL_r,233,0.20329814622290449,0.22934144139330617
fj->en,gemini,rougeL_r,233,0.4068579720754659,0.33568525262764237
fj->en,google_translate,rougeL_r,233,0.40243113807325226,0.333818011979261
fj->en,microsoft_translate,rougeL_r,233,0.36547924774214513,0.30931137800365294
fj->en,chatgpt,ter,233,1.2253347833325694,0.8602584367991855
fj->en,gemini,ter,233,0.9239842020447027,0.6834620833458358
fj->en,google_translate,ter,233,0.8527713928726984,0.5772363719782514
fj->en,microsoft_translate,ter,233,0.884615630184698,0.5524525423890362
