domain,system,metric,n,mean,std
conversational,chatgpt,rougeL_p,78,0.3072839197839198,0.20611793508535448
conversational,gemini,rougeL_p,78,0.5536186622159472,0.2586920257871314
conversational,google_translate,rougeL_p,78,0.5376313857083088,0.2307265097366353
conversational,microsoft_translate,rougeL_p,78,0.5584332334332334,0.24288118604074566
conversational,chatgpt,rougeL_r,78,0.3209151959151959,0.20822390845771474
conversational,gemini,rougeL_r,78,0.5886724386724387,0.26779923604662836
conversational,google_translate,rougeL_r,78,0.5673460798460799,0.22959942795650284
conversational,microsoft_translate,rougeL_r,78,0.5742854367854368,0.24525689524134117
conversational,chatgpt,ter,78,0.8880642505642506,0.2971693972048842
conversational,gemini,ter,78,0.687026862026862,0.4015247864043723
conversational,google_translate,ter,78,0.6418169793169793,0.34694445461378587
conversational,microsoft_translate,ter,78,0.6195637695637696,0.36277921449953654
definition,chatgpt,bertscore_f1,80,-0.14581167507567444,0.32393119963235495
definition,gemini,bertscore_f1,79,0.17727337396833337,0.5392324797938914
definition,google_translate,bertscore_f1,80,0.0428247143077897,0.510492645890836
definition,microsoft_translate,bertscore_f1,80,0.013745224894955763,0.46723233277706183
definition,chatgpt,bleu,80,0.015852948832138947,0.06943870499805864
definition,gemini,bleu,80,0.08445433006864937,0.10333401303120605
definition,google_translate,bleu,80,0.06331969232201475,0.09813341708705013
definition,microsoft_translate,bleu,80,0.06253969773391001,0.09984702546442811
definition,chatgpt,bleurt,80,0.17500530015677213,0.1622674600037337
definition,gemini,bleurt,79,0.43277760859154446,0.338608999186413
definition,google_translate,bleurt,80,0.3386399164795875,0.30482426278344377
definition,microsoft_translate,bleurt,80,0.3542528141289949,0.3065178965063164
definition,chatgpt,chrf,80,0.14566459420345762,0.18036314853236035
definition,gemini,chrf,80,0.4490712977261174,0.3955846482537766
definition,google_translate,chrf,80,0.33510737113459144,0.3383481655532741
definition,microsoft_translate,chrf,80,0.3670922156431712,0.3501709475285881
definition,chatgpt,comet,80,0.5574005614966154,0.13368193269311554
definition,gemini,comet,79,0.7131439771833299,0.19924633785305768
definition,google_translate,comet,80,0.6460144143551588,0.19122761334241511
definition,microsoft_translate,comet,80,0.6344148688018322,0.1933618763979002
definition,chatgpt,edit_dist,80,11.85,6.955737091136544
definition,gemini,edit_dist,80,7.75,7.767996662711611
definition,google_translate,edit_dist,80,11.225,8.729369893307146
definition,microsoft_translate,edit_dist,80,10.7625,8.280285798895614
definition,chatgpt,exact_match,80,0.0125,0.11180339887498951
definition,gemini,exact_match,80,0.25,0.43574467033059505
definition,google_translate,exact_match,80,0.1375,0.3465471637582117
definition,microsoft_translate,exact_match,80,0.125,0.3328054892439218
definition,chatgpt,len_ratio,80,2.183333333333333,1.6129748180653907
definition,gemini,len_ratio,80,1.60625,1.3115959481040578
definition,google_translate,len_ratio,80,1.9833333333333332,1.5991822804936047
definition,microsoft_translate,len_ratio,80,1.8833333333333333,1.4525790633567561
definition,chatgpt,llm_adequacy,80,1.5625,0.9392125708084177
definition,gemini,llm_adequacy,79,2.7848101265822787,1.5825238368679038
definition,google_translate,llm_adequacy,80,2.4625,1.3682081972002933
definition,microsoft_translate,llm_adequacy,80,2.3875,1.400666658633522
definition,chatgpt,llm_error_tags,0,,
definition,gemini,llm_error_tags,0,,
definition,google_translate,llm_error_tags,0,,
definition,microsoft_translate,llm_error_tags,0,,
definition,chatgpt,llm_fluency,80,2.5625,1.0168672417487803
definition,gemini,llm_fluency,79,3.569620253164557,1.1948988188448668
definition,google_translate,llm_fluency,80,3.375,1.0951561937037084
definition,microsoft_translate,llm_fluency,80,3.175,1.1988918934382276
definition,chatgpt,llm_overall,80,1.5625,0.9392125708084176
definition,gemini,llm_overall,79,2.810126582278481,1.5776967093989982
definition,google_translate,llm_overall,80,2.4625,1.3401657747448517
definition,microsoft_translate,llm_overall,80,2.4,1.3925661586901765
definition,chatgpt,llm_rationale,0,,
definition,gemini,llm_rationale,0,,
definition,google_translate,llm_rationale,0,,
definition,microsoft_translate,llm_rationale,0,,
definition,chatgpt,llm_terminology,80,1.675,0.9907802832213873
definition,gemini,llm_terminology,79,3.037974683544304,1.5478938376659406
definition,google_translate,llm_terminology,80,2.7625,1.3893241230855171
definition,microsoft_translate,llm_terminology,80,2.625,1.5209507353101566
definition,chatgpt,meteor,80,0.042702777242250925,0.14744743772671678
definition,gemini,meteor,80,0.25194413232533985,0.2647231432178195
definition,google_translate,meteor,80,0.1991239602259339,0.25669589777149704
definition,microsoft_translate,meteor,80,0.21535421635363045,0.2716344011657302
definition,chatgpt,rouge1_f1,80,0.0625,0.204339352614035
definition,gemini,rouge1_f1,79,0.3975587703435805,0.4441617213033284
definition,google_translate,rouge1_f1,80,0.2758333333333333,0.37756995607431193
definition,microsoft_translate,rouge1_f1,80,0.2747420634920635,0.38068708478432334
definition,chatgpt,rouge1_p,80,0.06541666666666666,0.22777859249965776
definition,gemini,rouge1_p,79,0.38682941531042797,0.4475388043191914
definition,google_translate,rouge1_p,80,0.25979166666666664,0.3798335351391647
definition,microsoft_translate,rouge1_p,80,0.25958333333333333,0.38165358443114616
definition,chatgpt,rouge1_r,80,0.08125,0.25709858720791096
definition,gemini,rouge1_r,79,0.44936708860759494,0.47841919058802046
definition,google_translate,rouge1_r,80,0.35208333333333336,0.4577768005874895
definition,microsoft_translate,rouge1_r,80,0.3441666666666666,0.4532667796765702
definition,chatgpt,rouge2_f1,80,0.0125,0.11180339887498951
definition,gemini,rouge2_f1,79,0.055696202531645575,0.22403458721243386
definition,google_translate,rouge2_f1,80,0.0375,0.19118219820734467
definition,microsoft_translate,rouge2_f1,80,0.05083333333333333,0.20738645581003076
definition,chatgpt,rouge2_p,80,0.0125,0.11180339887498951
definition,gemini,rouge2_p,79,0.05485232067510548,0.222843446297924
definition,google_translate,rouge2_p,80,0.0375,0.19118219820734467
definition,microsoft_translate,rouge2_p,80,0.04791666666666666,0.20055084129402503
definition,chatgpt,rouge2_r,80,0.0125,0.11180339887498951
definition,gemini,rouge2_r,79,0.056962025316455694,0.22627617814486245
definition,google_translate,rouge2_r,80,0.0375,0.19118219820734467
definition,microsoft_translate,rouge2_r,80,0.05625,0.22492966551875665
definition,chatgpt,rougeL_f1,80,0.0625,0.204339352614035
definition,gemini,rougeL_f1,79,0.3975587703435805,0.4441617213033284
definition,google_translate,rougeL_f1,80,0.2758333333333333,0.37756995607431193
definition,microsoft_translate,rougeL_f1,80,0.2747420634920635,0.38068708478432334
definition,chatgpt,rougeL_p,80,0.06541666666666666,0.22777859249965776
definition,gemini,rougeL_p,79,0.38682941531042797,0.4475388043191914
definition,google_translate,rougeL_p,80,0.25979166666666664,0.3798335351391647
definition,microsoft_translate,rougeL_p,80,0.25958333333333333,0.38165358443114616
definition,chatgpt,rougeL_r,80,0.08125,0.25709858720791096
definition,gemini,rougeL_r,79,0.44936708860759494,0.47841919058802046
definition,google_translate,rougeL_r,80,0.35208333333333336,0.4577768005874895
definition,microsoft_translate,rougeL_r,80,0.3441666666666666,0.4532667796765702
definition,chatgpt,ter,80,2.2125,1.5733306068059048
definition,gemini,ter,79,1.3037974683544304,1.387972217241384
definition,google_translate,ter,80,1.83125,1.7345852647787665
definition,microsoft_translate,ter,80,1.6833333333333331,1.5086716057726741
dictionary,chatgpt,bertscore_f1,20,-0.4924984756857157,0.18311439578189256
dictionary,gemini,bertscore_f1,20,-0.4741354927420616,0.16431846043873366
dictionary,google_translate,bertscore_f1,20,-0.43914973735809326,0.21941201544475503
dictionary,microsoft_translate,bertscore_f1,20,-0.4852136693894863,0.17882522620459507
dictionary,chatgpt,bleu,20,9.12424462867664e-13,4.080486246611659e-12
