domain,direction,system,metric,n,mean,std
conversational,en->fj,chatgpt,meteor,41,0.22877053148024373,0.1544216590487797
conversational,en->fj,gemini,meteor,41,0.48110344799553006,0.2627471096075371
conversational,en->fj,google_translate,meteor,41,0.5155367552814186,0.2465574045113225
conversational,en->fj,microsoft_translate,meteor,41,0.5813574137869654,0.2541098750918467
conversational,en->fj,chatgpt,rouge1_f1,41,0.3454696913580852,0.16654538469718863
conversational,en->fj,gemini,rouge1_f1,41,0.5569588266616885,0.22016559432805852
conversational,en->fj,google_translate,rouge1_f1,41,0.5858033511288061,0.18476080488833357
conversational,en->fj,microsoft_translate,rouge1_f1,41,0.6417582099074208,0.21156579635428474
conversational,en->fj,chatgpt,rouge1_p,41,0.35343064794284307,0.1957540221050548
conversational,en->fj,gemini,rouge1_p,41,0.553529194382853,0.23135842629645226
conversational,en->fj,google_translate,rouge1_p,41,0.571777071167315,0.19986572790522705
conversational,en->fj,microsoft_translate,rouge1_p,41,0.6318402464743927,0.23407946803278812
conversational,en->fj,chatgpt,rouge1_r,41,0.35474078766761696,0.17421766383777365
conversational,en->fj,gemini,rouge1_r,41,0.5876711364516243,0.2417159523134418
conversational,en->fj,google_translate,rouge1_r,41,0.628159645232816,0.19803732709780014
conversational,en->fj,microsoft_translate,rouge1_r,41,0.6756229542814909,0.20945041319780305
conversational,en->fj,chatgpt,rouge2_f1,41,0.07154883908074272,0.10451013918271726
conversational,en->fj,gemini,rouge2_f1,41,0.30233512072596874,0.23884154170290253
conversational,en->fj,google_translate,rouge2_f1,41,0.3178186565061994,0.24330091360224793
conversational,en->fj,microsoft_translate,rouge2_f1,41,0.3979954006911645,0.28955814664491625
conversational,en->fj,chatgpt,rouge2_p,41,0.06926230950621194,0.10272270742579478
conversational,en->fj,gemini,rouge2_p,41,0.29396491042832507,0.2397066252706042
conversational,en->fj,google_translate,rouge2_p,41,0.30133937877840317,0.2451070738157938
conversational,en->fj,microsoft_translate,rouge2_p,41,0.3872435152922958,0.2941396424479063
conversational,en->fj,chatgpt,rouge2_r,41,0.07577429345722028,0.10945693089862317
conversational,en->fj,gemini,rouge2_r,41,0.3248741773132017,0.2535501027967588
conversational,en->fj,google_translate,rouge2_r,41,0.34503484320557487,0.24842390438793696
conversational,en->fj,microsoft_translate,rouge2_r,41,0.41793457220286484,0.2877347434574614
conversational,en->fj,chatgpt,rougeL_f1,41,0.33883725661268516,0.1659282619030339
conversational,en->fj,gemini,rougeL_f1,41,0.5349686217446543,0.21110588253602583
conversational,en->fj,google_translate,rougeL_f1,41,0.5533622107544179,0.18657881351958966
conversational,en->fj,microsoft_translate,rougeL_f1,41,0.608450962396443,0.21850230314593297
conversational,en->fj,chatgpt,rougeL_p,41,0.34692658290219264,0.19561815650321837
conversational,en->fj,gemini,rougeL_p,41,0.532158694963573,0.2247877767423354
conversational,en->fj,google_translate,rougeL_p,41,0.5412778278631938,0.20157623285533502
conversational,en->fj,microsoft_translate,rougeL_p,41,0.5988166305239476,0.24093210754088157
conversational,en->fj,chatgpt,rougeL_r,41,0.3479657199169394,0.17382827329579212
conversational,en->fj,gemini,rougeL_r,41,0.5648963502622039,0.23317568094008112
conversational,en->fj,google_translate,rougeL_r,41,0.5926459719142646,0.19906739120127348
conversational,en->fj,microsoft_translate,rougeL_r,41,0.6415135677330799,0.2169443507101115
conversational,en->fj,chatgpt,ter,41,0.8536409390067926,0.27291559912917435
conversational,en->fj,gemini,ter,41,0.7224773871115335,0.3914780945178632
conversational,en->fj,google_translate,ter,41,0.6566474853060219,0.3352389748322916
conversational,en->fj,microsoft_translate,ter,41,0.6073047548657305,0.40581625542400285
conversational,fj->en,chatgpt,bertscore_f1,37,0.378389017127857,0.2346365713920885
conversational,fj->en,gemini,bertscore_f1,37,0.5885707470210823,0.25020818167892683
conversational,fj->en,google_translate,bertscore_f1,37,0.6279561302146396,0.2635924584324886
conversational,fj->en,microsoft_translate,bertscore_f1,37,0.5361580731900962,0.2578185486472401
conversational,fj->en,chatgpt,bleu,37,0.07583267536681135,0.11637060800618403
conversational,fj->en,gemini,bleu,37,0.23838951961886698,0.2762737374049445
conversational,fj->en,google_translate,bleu,37,0.17491857856601592,0.2322273157937547
conversational,fj->en,microsoft_translate,bleu,37,0.15740379268753404,0.22770199646151437
conversational,fj->en,chatgpt,bleurt,37,0.4085536726020478,0.16529753634789204
conversational,fj->en,gemini,bleurt,37,0.6517926333723841,0.17956731076629173
conversational,fj->en,google_translate,bleurt,37,0.6282881051301956,0.209056709227048
conversational,fj->en,microsoft_translate,bleurt,37,0.6005878996204685,0.20103715277031536
